"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0060251","regulation of glial cell proliferation","3/10","29/18842",0.103448275862069,194.91724137931,24.081866670928,3.90518027412087e-07,1.26420639854383e-05,2.40194782598146e-06,"7124/3553/3569",3
"BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway","4/10","127/18842",0.031496062992126,59.3448818897638,15.2024457324605,4.0060345946037e-07,1.27191598378667e-05,2.41659576759494e-06,"207/7124/596/3553",4
"BP","GO:0033135","regulation of peptidyl-serine phosphorylation","3/10","30/18842",0.1,188.42,23.6735194664402,4.33787923795387e-07,1.35129030601167e-05,2.56740419644539e-06,"207/3569/5728",3
"BP","GO:0050867","positive regulation of cell activation","5/10","345/18842",0.0144927536231884,27.3072463768116,11.3641784150736,4.67266106607329e-07,1.42862285557167e-05,2.7143333288301e-06,"207/7124/596/3553/3569",5
"BP","GO:0010575","positive regulation of vascular endothelial growth factor production","3/10","31/18842",0.0967741935483871,182.341935483871,23.2850354756689,4.80131276147683e-07,1.44126679439968e-05,2.73835636922506e-06,"3553/3091/3569",3
"BP","GO:0001503","ossification","5/10","354/18842",0.0141242937853107,26.6129943502825,11.2103912627767,5.30800686030449e-07,1.56491416542191e-05,2.97328203829086e-06,"207/7124/3091/3569/5728",5
"BP","GO:0030099","myeloid cell differentiation","5/10","364/18842",0.0137362637362637,25.8818681318681,11.0461248243518,6.09239092556883e-07,1.76465568738845e-05,3.35278392579781e-06,"7124/836/4318/3553/3091",5
"BP","GO:0009410","response to xenobiotic stimulus","5/10","368/18842",0.0135869565217391,25.6005434782609,10.9822643546816,6.43073936405955e-07,1.83054322242454e-05,3.47796793192331e-06,"7157/7124/836/596/3553",5
"BP","GO:0045429","positive regulation of nitric oxide biosynthetic process","3/10","35/18842",0.0857142857142857,161.502857142857,21.9008403686603,6.98321529636872e-07,1.92154807571746e-05,3.65087396196119e-06,"207/7124/3553",3
"BP","GO:1900017","positive regulation of cytokine production involved in inflammatory response","3/10","35/18842",0.0857142857142857,161.502857142857,21.9008403686603,6.98321529636872e-07,1.92154807571746e-05,3.65087396196119e-06,"7124/3091/3569",3
"BP","GO:1901889","negative regulation of cell junction assembly","3/10","38/18842",0.0789473684210526,148.752631578947,21.0090131934104,8.99329690569155e-07,2.4340874084093e-05,4.62468072113215e-06,"7124/3553/5728",3
"BP","GO:0062013","positive regulation of small molecule metabolic process","4/10","157/18842",0.0254777070063694,48.0050955414013,13.628622649056,9.3702201862667e-07,2.49519895605263e-05,4.74079051868842e-06,"207/7124/3553/3091",4
"BP","GO:0006979","response to oxidative stress","5/10","400/18842",0.0125,23.5525,10.5056863418256,9.7085151444364e-07,2.50449351616633e-05,4.75844985697705e-06,"207/7157/836/3091/3569",5
"BP","GO:0009615","response to virus","5/10","400/18842",0.0125,23.5525,10.5056863418256,9.7085151444364e-07,2.50449351616633e-05,4.75844985697705e-06,"7124/596/3553/3091/3569",5
"BP","GO:0014009","glial cell proliferation","3/10","41/18842",0.0731707317073171,137.868292682927,20.2165970751593,1.13547118796164e-06,2.84039838079494e-05,5.3966573207746e-06,"7124/3553/3569",3
"BP","GO:0090199","regulation of release of cytochrome c from mitochondria","3/10","41/18842",0.0731707317073171,137.868292682927,20.2165970751593,1.13547118796164e-06,2.84039838079494e-05,5.3966573207746e-06,"207/7157/4318",3
"BP","GO:0050729","positive regulation of inflammatory response","4/10","166/18842",0.0240963855421687,45.4024096385542,13.2410492998489,1.17083386108731e-06,2.88514433530618e-05,5.48167306526342e-06,"7124/836/3553/3569",4
"BP","GO:0051051","negative regulation of transport","5/10","418/18842",0.0119617224880383,22.5382775119617,10.2615011656532,1.20628028960993e-06,2.89678356014738e-05,5.50378718431521e-06,"207/7124/4318/3553/5728",5
"BP","GO:0002673","regulation of acute inflammatory response","3/10","42/18842",0.0714285714285714,134.585714285714,19.9714450430778,1.22247404588475e-06,2.89678356014738e-05,5.50378718431521e-06,"7124/3553/3569",3
"BP","GO:1905952","regulation of lipid localization","4/10","168/18842",0.0238095238095238,44.8619047619048,13.1591307835881,1.2281941199898e-06,2.89678356014738e-05,5.50378718431521e-06,"207/7124/3553/3569",4
"BP","GO:0050727","regulation of inflammatory response","5/10","429/18842",0.0116550116550117,21.960372960373,10.1197347103341,1.37103086763478e-06,3.18812952459862e-05,6.05733430029895e-06,"7124/836/4318/3553/3569",5
"BP","GO:0001837","epithelial to mesenchymal transition","4/10","175/18842",0.0228571428571429,43.0674285714286,12.8834293026938,1.44554626572288e-06,3.31471789542844e-05,6.2978477658687e-06,"3553/3091/3569/5728",4
"BP","GO:0000302","response to reactive oxygen species","4/10","179/18842",0.0223463687150838,42.1050279329609,12.733109889814,1.58191755644346e-06,3.55443595736376e-05,6.75330367748033e-06,"207/836/3091/3569",4
"BP","GO:0001774","microglial cell activation","3/10","46/18842",0.0652173913043478,122.882608695652,19.0718003044057,1.61467411751837e-06,3.55443595736376e-05,6.75330367748033e-06,"7124/3553/3569",3
"BP","GO:0002269","leukocyte activation involved in inflammatory response","3/10","46/18842",0.0652173913043478,122.882608695652,19.0718003044057,1.61467411751837e-06,3.55443595736376e-05,6.75330367748033e-06,"7124/3553/3569",3
"BP","GO:0006953","acute-phase response","3/10","47/18842",0.0638297872340425,120.268085106383,18.8649545197823,1.72428438880932e-06,3.64973528964639e-05,6.93436906700643e-06,"7124/3553/3569",3
"BP","GO:0014015","positive regulation of gliogenesis","3/10","47/18842",0.0638297872340425,120.268085106383,18.8649545197823,1.72428438880932e-06,3.64973528964639e-05,6.93436906700643e-06,"7124/3553/3569",3
"BP","GO:0035094","response to nicotine","3/10","47/18842",0.0638297872340425,120.268085106383,18.8649545197823,1.72428438880932e-06,3.64973528964639e-05,6.93436906700643e-06,"7124/836/596",3
"BP","GO:0022411","cellular component disassembly","5/10","455/18842",0.010989010989011,20.7054945054945,9.80485894531072,1.83171938613544e-06,3.80413729394574e-05,7.22772746084242e-06,"7124/836/4318/3553/3569",5
"BP","GO:0097191","extrinsic apoptotic signaling pathway","4/10","186/18842",0.021505376344086,40.5204301075269,12.4816678117639,1.84331304370478e-06,3.80413729394574e-05,7.22772746084242e-06,"207/7124/596/3553",4
"BP","GO:0051052","regulation of DNA metabolic process","5/10","481/18842",0.0103950103950104,19.5862785862786,9.51525797695047,2.40714773901068e-06,4.88799547054458e-05,9.28701998930336e-06,"207/7157/7124/836/3569",5
"BP","GO:0001667","ameboidal-type cell migration","4/10","200/18842",0.02,37.684,12.0184699746946,2.46093823709968e-06,4.88799547054458e-05,9.28701998930336e-06,"207/4318/3091/5728",4
"BP","GO:0043065","positive regulation of apoptotic process","5/10","484/18842",0.0103305785123967,19.4648760330579,9.48331434407098,2.48180008701e-06,4.88799547054458e-05,9.28701998930336e-06,"7157/7124/836/596/3569",5
"BP","GO:0061900","glial cell activation","3/10","53/18842",0.0566037735849057,106.652830188679,17.748881460285,2.48692682935036e-06,4.88799547054458e-05,9.28701998930336e-06,"7124/3553/3569",3
"BP","GO:0007346","regulation of mitotic cell cycle","5/10","492/18842",0.0101626016260163,19.1483739837398,9.39952677492577,2.68985554576947e-06,5.22464883066517e-05,9.92664956828856e-06,"207/7157/7124/3553/5728",5
"BP","GO:0045428","regulation of nitric oxide biosynthetic process","3/10","56/18842",0.0535714285714286,100.939285714286,17.2590484404228,2.94031946098557e-06,5.64472956986881e-05,1.07247882420282e-05,"207/7124/3553",3
"BP","GO:0071222","cellular response to lipopolysaccharide","4/10","210/18842",0.019047619047619,35.8895238095238,11.715982212381,2.98793580648165e-06,5.6702092143692e-05,1.07731986730978e-05,"7124/4318/3553/3569",4
"BP","GO:0048872","homeostasis of number of cells","4/10","214/18842",0.0186915887850467,35.218691588785,11.6008797099419,3.22060824184069e-06,6.0423002355443e-05,1.1480158565413e-05,"207/836/3091/3569",4
"BP","GO:0045732","positive regulation of protein catabolic process","4/10","215/18842",0.0186046511627907,35.0548837209302,11.5725995788772,3.280820323811e-06,6.08610601641794e-05,1.15633880129589e-05,"207/7124/3553/5728",4
"BP","GO:0001649","osteoblast differentiation","4/10","217/18842",0.0184331797235023,34.731797235023,11.5166179354233,3.40374910419662e-06,6.24398863447625e-05,1.18633594508841e-05,"207/7124/3569/5728",4
"BP","GO:0010574","regulation of vascular endothelial growth factor production","3/10","60/18842",0.05,94.21,16.6636819194233,3.62573859049237e-06,6.50662436185098e-05,1.23623581231891e-05,"3553/3091/3569",3
"BP","GO:0080164","regulation of nitric oxide metabolic process","3/10","60/18842",0.05,94.21,16.6636819194233,3.62573859049237e-06,6.50662436185098e-05,1.23623581231891e-05,"207/7124/3553",3
"BP","GO:0071219","cellular response to molecule of bacterial origin","4/10","223/18842",0.0179372197309417,33.7973094170404,11.3531460475527,3.79311266289496e-06,6.73379463058019e-05,1.27939736677159e-05,"7124/4318/3553/3569",4
"BP","GO:0010721","negative regulation of cell development","4/10","225/18842",0.0177777777777778,33.4968888888889,11.3000911647207,3.92996187363276e-06,6.90251814188052e-05,1.31145424226491e-05,"7124/3553/3569/5728",4
"BP","GO:0032890","regulation of organic acid transport","3/10","62/18842",0.0483870967741935,91.1709677419355,16.3877199431551,4.00493605875823e-06,6.96015729790509e-05,1.32240547978942e-05,"207/7124/3553",3
"BP","GO:0050994","regulation of lipid catabolic process","3/10","64/18842",0.046875,88.321875,16.1247178499579,4.40953294406849e-06,7.58347801110113e-05,1.44083422953115e-05,"207/7124/3553",3
"BP","GO:0042063","gliogenesis","4/10","234/18842",0.0170940170940171,32.208547008547,11.0696880279593,4.59164262546528e-06,7.63027360569689e-05,1.44972522840873e-05,"7124/3553/3569/5728",4
"BP","GO:0010632","regulation of epithelial cell migration","3/10","65/18842",0.0461538461538462,86.9630769230769,15.9977637603747,4.6216072717728e-06,7.63027360569689e-05,1.44972522840873e-05,"4318/3091/5728",3
"BP","GO:0010827","regulation of D-glucose transmembrane transport","3/10","65/18842",0.0461538461538462,86.9630769230769,15.9977637603747,4.6216072717728e-06,7.63027360569689e-05,1.44972522840873e-05,"207/7124/3553",3
"BP","GO:0018105","peptidyl-serine phosphorylation","3/10","65/18842",0.0461538461538462,86.9630769230769,15.9977637603747,4.6216072717728e-06,7.63027360569689e-05,1.44972522840873e-05,"207/3569/5728",3
"BP","GO:0032757","positive regulation of interleukin-8 production","3/10","66/18842",0.0454545454545455,85.6454545454545,15.873687381494,4.84033254738915e-06,7.8716395388028e-05,1.4955839093138e-05,"7124/3553/3569",3
"BP","GO:0034599","cellular response to oxidative stress","4/10","238/18842",0.0168067226890756,31.6672268907563,10.971438460446,4.91083508477703e-06,7.8716395388028e-05,1.4955839093138e-05,"207/7157/3091/3569",4
"BP","GO:0048762","mesenchymal cell differentiation","4/10","238/18842",0.0168067226890756,31.6672268907563,10.971438460446,4.91083508477703e-06,7.8716395388028e-05,1.4955839093138e-05,"3553/3091/3569/5728",4
"BP","GO:0018209","peptidyl-serine modification","3/10","67/18842",0.0447761194029851,84.3671641791045,15.7523810673576,5.06580889524584e-06,8.04197162120278e-05,1.52794640767537e-05,"207/3569/5728",3
"BP","GO:1905953","negative regulation of lipid localization","3/10","68/18842",0.0441176470588235,83.1264705882353,15.6337427302315,5.29813632449545e-06,8.33068863975428e-05,1.58280162877157e-05,"207/7124/3569",3
"BP","GO:0006809","nitric oxide biosynthetic process","3/10","70/18842",0.0428571428571429,80.7514285714286,15.4040872735614,5.78374388835087e-06,9.00845392421443e-05,1.71157465613561e-05,"207/7124/3553",3
"BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","4/10","250/18842",0.016,30.1472,10.690734446923,5.96759511263598e-06,9.20794348688038e-05,1.74947697350273e-05,"207/7124/3553/3569",4
"BP","GO:0014013","regulation of gliogenesis","3/10","76/18842",0.0394736842105263,74.3763157894737,14.7700033667218,7.41535783777436e-06,0.000113358849908939,2.15377839732628e-05,"7124/3553/3569",3
"BP","GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","4/10","265/18842",0.0150943396226415,28.4407547169811,10.366566793737,7.51525833623269e-06,0.00011383203223046,2.16276869550685e-05,"207/7124/3553/5728",4
"BP","GO:0051054","positive regulation of DNA metabolic process","4/10","267/18842",0.0149812734082397,28.2277153558052,10.3253830788401,7.74205888677421e-06,0.000116201265655129,2.2077832997691e-05,"207/7124/836/3569",4
"BP","GO:0048511","rhythmic process","4/10","272/18842",0.0147058823529412,27.7088235294118,10.2243806752857,8.33124085663374e-06,0.000122857941017484,2.33425779739299e-05,"7157/7124/836/5728",4
"BP","GO:0046209","nitric oxide metabolic process","3/10","79/18842",0.0379746835443038,71.5518987341772,14.480210144945,8.33439696787294e-06,0.000122857941017484,2.33425779739299e-05,"207/7124/3553",3
"BP","GO:2001057","reactive nitrogen species metabolic process","3/10","81/18842",0.037037037037037,69.7851851851852,14.2959552676675,8.98713631546737e-06,0.000131307628821563,2.49479890266351e-05,"207/7124/3553",3
"BP","GO:0001666","response to hypoxia","4/10","278/18842",0.0143884892086331,27.1107913669065,10.1067239731952,9.08137655098968e-06,0.000131520637593719,2.49884599463982e-05,"7157/7124/836/3091",4
