Gene Symbol,Database
TIMP3,GeneCards
RCC2,GeneCards
MIR221,GeneCards
IL1B,GeneCards
DEFB1,GeneCards
HSPA5,GeneCards
MIR182,GeneCards
LCN2,GeneCards
HMOX1,GeneCards
PLAUR,GeneCards
PGF,GeneCards
BIRC7,GeneCards
HSP90AA1,GeneCards
MIR34A,GeneCards
IGF2BP3,GeneCards
YAP1,GeneCards
FOXM1,GeneCards
SFRP1,GeneCards
FBXW7,GeneCards
FAS,GeneCards
MMP7,GeneCards
TNFRSF10A,GeneCards
RASSF1-AS1,GeneCards
KRT18,GeneCards
INSR,GeneCards
